sample_id,subtype
GSM710838,ETP
GSM710840,ETP
GSM710842,ETP
GSM710844,ETP
GSM710847,ETP
GSM710848,ETP
GSM710850,ETP
GSM710851,nonETP
GSM710852,nonETP
GSM710854,nonETP
GSM710856,nonETP
GSM710857,nonETP
GSM710859,nonETP
GSM710861,nonETP
GSM710864,nonETP
GSM710866,nonETP
GSM710868,nonETP
GSM710870,nonETP
GSM710872,nonETP
GSM710874,nonETP
GSM710876,nonETP
GSM710878,nonETP
GSM710880,nonETP
GSM710882,nonETP
GSM710884,nonETP
GSM710887,nonETP
GSM710889,nonETP
GSM710891,nonETP
GSM710893,nonETP
GSM710895,nonETP
GSM710897,nonETP
GSM710899,nonETP
GSM710901,nonETP
GSM710903,nonETP
GSM710904,nonETP
GSM710907,nonETP
GSM710909,nonETP
GSM710910,nonETP
GSM710912,nonETP
GSM710914,nonETP
GSM710917,nonETP
GSM710919,nonETP
GSM710921,nonETP
GSM710923,nonETP
GSM710925,nonETP
GSM710927,nonETP
GSM710929,nonETP
GSM710931,ETP
GSM710932,ETP
GSM710933,ETP
GSM710934,ETP
GSM710935,ETP
